country,segment,type,name,price,eff,kpl,m_annual,i_annual,t_annual
thailand,compact,ev,BYD Dolphin ER (2026),20570,6.5,,170,510,43
thailand,compact,ice,Toyota Yaris Ativ,17700,,16,510,400,57
thailand,compact,hybrid,Honda City e:HEV,22000,,24,400,460,51
thailand,midsize,ev,BYD Seal,31400,6.0,,200,800,43
thailand,midsize,ice,Toyota Camry 2.5,41300,,14,630,690,129
thailand,midsize,hybrid,Toyota Camry HEV,46000,,22,490,740,100
thailand,suv,ev,BYD Atto 3,22850,5.8,,220,640,43
thailand,suv,ice,Toyota Fortuner,40000,,11,710,800,171
thailand,suv,hybrid,Honda CR-V e:HEV,44300,,18,510,770,114
thailand,mpv,ev,BYD M6 Extended,26570,5.0,,230,680,43
thailand,mpv,ice,Toyota Innova Zenix HEV,42260,,18,600,720,100
thailand,mpv,hybrid,Toyota Innova Zenix HEV,42260,,18,600,720,100
thailand,motorbike_commuter,ev,Deco WMOTO / Chinese EV,1400,25,,40,80,5
thailand,motorbike_commuter,ice,Honda Wave 110i,1170,,50,80,60,10
thailand,motorbike_premium,ev,NIU NQi / Yadea G5,2800,18,,50,120,5
thailand,motorbike_premium,ice,Honda PCX 160,2700,,40,120,100,15
vietnam,compact,ev,BYD Dolphin (659M VND),25950,6.5,,140,400,0
vietnam,compact,ice,Toyota Vios 1.5,19700,,15,420,320,85
vietnam,compact,hybrid,Honda City e:HEV,22400,,24,350,360,60
vietnam,midsize,ev,VinFast VF e34,32700,5.8,,180,590,0
vietnam,midsize,ice,Toyota Camry 2.5,42500,,13,520,550,113
vietnam,midsize,hybrid,Honda Accord HEV,46000,,20,430,580,90
vietnam,suv,ev,VinFast VF8,44500,4.8,,220,780,0
vietnam,suv,ice,Toyota Fortuner,42000,,10,600,700,150
vietnam,suv,hybrid,Honda CR-V HEV,46000,,17,480,650,110
vietnam,mpv,ev,VinFast VF9 (7-seat),58000,4.2,,280,900,0
vietnam,mpv,ice,Toyota Innova Cross,35400,,13,550,600,113
vietnam,motorbike_commuter,ev,VinFast Evo 200,790,30,,25,40,0
vietnam,motorbike_commuter,ice,Honda Wave Alpha 110,620,,55,60,35,8
vietnam,motorbike_premium,ev,VinFast Klara S / Feliz S,1180,20,,35,55,0
vietnam,motorbike_premium,ice,Honda SH 150i,3350,,38,100,80,12
indonesia,compact,ev,Wuling Air EV Lite,10700,7.5,,120,260,0
indonesia,compact,ice,Toyota Avanza 1.5,15300,,15,380,250,50
indonesia,compact,hybrid,Toyota Yaris Cross HEV,25500,,22,310,300,40
indonesia,midsize,ev,BYD Dolphin Premium,27000,6.0,,170,460,0
indonesia,midsize,ice,Toyota Camry 2.5,35000,,13,490,420,90
indonesia,midsize,hybrid,Toyota Camry HEV,40000,,21,390,460,70
indonesia,suv,ev,Hyundai Ioniq 5,49700,5.5,,200,680,0
indonesia,suv,ice,Toyota Fortuner,32000,,10,540,540,130
indonesia,suv,hybrid,Honda CR-V HEV,38000,,17,430,490,100
indonesia,mpv,ev,BYD M6 Extended,27230,5.0,,220,600,0
indonesia,mpv,ice,Toyota Kijang Innova Zenix,30440,,15,520,520,90
indonesia,mpv,hybrid,Toyota Innova Zenix HEV,33500,,20,450,560,70
indonesia,motorbike_commuter,ev,Gesits / United E-Motor,1100,28,,30,50,0
indonesia,motorbike_commuter,ice,Honda BeAT 110,940,,50,65,40,8
indonesia,motorbike_premium,ev,Alva One / SWAP,2200,18,,40,80,0
indonesia,motorbike_premium,ice,Yamaha NMAX 155,1950,,38,100,70,12
malaysia,compact,ev,BYD Atto 3 Ultra,27820,6.5,,150,480,10
malaysia,compact,ice,Honda City 1.5 V,20200,,16,400,380,80
malaysia,compact,hybrid,Honda City e:HEV,24720,,24,340,430,60
malaysia,midsize,ev,Tesla Model 3 Standard,33170,6.0,,180,720,10
malaysia,midsize,ice,Toyota Camry 2.5V,38650,,14,480,590,130
malaysia,midsize,hybrid,Toyota Camry HEV,44000,,22,400,640,100
malaysia,suv,ev,Tesla Model Y RWD,43930,5.5,,200,780,10
malaysia,suv,ice,Proton X70 1.5T,24500,,12,460,500,120
malaysia,suv,hybrid,Honda CR-V e:HEV,38000,,18,400,580,90
malaysia,mpv,ev,BYD M6 Extended,27820,5.0,,210,640,10
malaysia,mpv,ice,Toyota Innova Zenix 2.0V,37080,,14,520,560,100
malaysia,mpv,hybrid,Toyota Innova Zenix HEV,45390,,20,440,600,80
malaysia,mpv_premium,ev,Denza D9 EV FWD (RM259K),58200,5.4,,800,1350,10
malaysia,mpv_premium,ice,Toyota Alphard 2.4T (RM538K),120900,,9,1200,2700,90
malaysia,motorbike_commuter,ev,Blueshark R1 / Chinese EV,1500,25,,35,70,5
malaysia,motorbike_commuter,ice,Honda Wave 110,870,,55,60,40,8
malaysia,motorbike_premium,ev,NIU NQi / Yadea,2600,18,,45,100,5
malaysia,motorbike_premium,ice,Honda PCX 160,2470,,40,100,80,12
singapore,compact,ev,BYD Atto 3 (w/ COE),134000,6.5,,450,2200,550
singapore,compact,ice,Toyota Corolla Cross (w/ COE),132000,,15,880,2000,750
singapore,compact,hybrid,Toyota Corolla Cross HEV (w/ COE),138000,,24,730,2100,600
singapore,midsize,ev,Tesla Model 3 (w/ COE),145000,6.0,,520,2800,700
singapore,midsize,ice,BMW 318i (w/ COE),158000,,13,1200,2600,1100
singapore,midsize,hybrid,Toyota Camry HEV (w/ COE),155000,,22,880,2500,850
singapore,suv,ev,Tesla Model Y (w/ COE),155000,5.5,,580,2900,750
singapore,suv,ice,Toyota RAV4 (w/ COE),150000,,12,1050,2700,1200
singapore,suv,hybrid,Toyota RAV4 HEV (w/ COE),158000,,19,830,2600,900
singapore,mpv,ev,Denza D9 EV (w/ COE),310000,4.0,,700,3800,800
singapore,mpv,ice,Toyota Alphard 2.5 SC (w/ COE),309000,,12,1100,3500,1100
singapore,mpv,hybrid,Toyota Alphard HEV 2.5Z (w/ COE),330000,,17,950,3600,850
singapore,motorbike_commuter,ev,Yadea / Blueshark EV (w/ COE),8500,25,,120,350,80
singapore,motorbike_commuter,ice,Honda Wave / Super Cub (w/ COE),5800,,50,250,280,120
singapore,motorbike_premium,ev,NIU NQi / Sur-Ron (w/ COE),12000,18,,150,450,80
singapore,motorbike_premium,ice,Honda PCX 160 / Yamaha NMAX (w/ COE),9500,,38,350,380,160
philippines,compact,ev,BYD Seagull,15750,7.0,,140,370,40
philippines,compact,ice,Toyota Vios 1.3 XLE,15930,,15,400,310,60
philippines,compact,hybrid,Toyota Yaris Cross HEV,24500,,23,340,350,50
philippines,midsize,ev,BYD Seal,35050,6.0,,190,590,40
philippines,midsize,ice,Toyota Camry 2.5V,34200,,13,510,490,100
philippines,midsize,hybrid,Toyota Camry HEV,39000,,21,410,540,80
philippines,suv,ev,BYD Atto 3,29470,5.5,,210,620,40
philippines,suv,ice,Toyota Fortuner,35000,,10,530,560,130
philippines,suv,hybrid,Honda CR-V HEV,40000,,17,430,530,100
philippines,mpv,ev,BYD M6 (if avail) / GAC Aion,32000,5.0,,220,640,40
philippines,mpv,ice,Toyota Zenix 2.0 Q HEV,35200,,17,520,560,100
philippines,mpv,hybrid,Toyota Zenix 2.0 Q HEV,35200,,17,520,560,100
philippines,motorbike_commuter,ev,Yadea / Chinese EV,1050,28,,30,45,5
philippines,motorbike_commuter,ice,Honda Click 125i,1400,,48,65,40,8
philippines,motorbike_premium,ev,NIU NQi GT,2800,18,,45,90,5
philippines,motorbike_premium,ice,Yamaha NMAX 155,2100,,38,95,70,12
cambodia,compact,ev,BYD Dolphin / MG4,25000,6.5,,150,380,50
cambodia,compact,ice,Toyota Vios,22000,,15,370,340,60
cambodia,compact,hybrid,Honda City e:HEV,28000,,23,310,370,55
cambodia,midsize,ev,BYD Seal,42000,6.0,,190,580,50
cambodia,midsize,ice,Toyota Camry,40000,,13,490,510,100
cambodia,midsize,hybrid,Toyota Camry HEV,45000,,21,390,550,80
cambodia,suv,ev,BYD Atto 3,38000,5.5,,220,630,50
cambodia,suv,ice,Toyota Fortuner,45000,,10,540,590,130
cambodia,suv,hybrid,Honda CR-V HEV,48000,,17,430,570,100
cambodia,mpv,ev,BYD M6 (import),35000,5.0,,230,600,50
cambodia,mpv,ice,Toyota Innova,38000,,13,500,520,100
cambodia,motorbike_commuter,ev,Yadea / Chinese import,800,25,,25,35,3
cambodia,motorbike_commuter,ice,Honda Wave 110,650,,50,55,30,6
cambodia,motorbike_premium,ev,NIU / Yadea G5,1800,18,,35,60,3
cambodia,motorbike_premium,ice,Honda PCX 150,2800,,38,90,60,10
myanmar,compact,ev,Chinese imports (BYD/MG),28000,6.5,,140,340,40
myanmar,compact,ice,Suzuki Ciaz,15000,,16,290,240,50
myanmar,compact,hybrid,Toyota Yaris HEV (import),25000,,24,270,290,45
myanmar,midsize,ev,BYD Seal (import),45000,6.0,,190,480,40
myanmar,midsize,ice,Toyota Camry (import),35000,,13,390,390,80
myanmar,midsize,hybrid,Toyota Camry HEV,40000,,21,340,440,65
myanmar,suv,ev,BYD Atto 3 (import),42000,5.5,,210,530,40
myanmar,suv,ice,Toyota Fortuner,38000,,10,440,440,110
myanmar,suv,hybrid,Honda CR-V HEV,44000,,17,370,470,85
myanmar,mpv,ev,Chinese EV MPV (import),40000,5.0,,220,550,40
myanmar,mpv,ice,Toyota Innova (import),35000,,13,450,440,90
myanmar,motorbike_commuter,ev,Chinese e-bike,500,28,,20,25,2
myanmar,motorbike_commuter,ice,Honda Wave 100,420,,55,45,20,5
myanmar,motorbike_premium,ev,Yadea / NIU import,1400,20,,30,45,2
myanmar,motorbike_premium,ice,Yamaha NMAX 155,2200,,38,80,50,10
taiwan,compact,ev,MG4 / Nissan Leaf,30000,6.5,,190,580,0
taiwan,compact,ice,Toyota Yaris / Honda Fit,23000,,17,440,490,180
taiwan,compact,hybrid,Toyota Corolla Cross HEV,28000,,25,370,540,120
taiwan,midsize,ev,Tesla Model 3,47000,6.0,,240,830,0
taiwan,midsize,ice,Toyota Camry,35000,,14,510,690,250
taiwan,midsize,hybrid,Toyota Camry HEV,38000,,22,410,740,170
taiwan,suv,ev,Tesla Model Y / bZ4X,42500,5.5,,260,880,0
taiwan,suv,ice,Toyota RAV4,32000,,12,490,640,220
taiwan,suv,hybrid,Toyota RAV4 HEV,37000,,19,410,690,150
taiwan,mpv,ev,Denza D9 EV / Maxus MIFA 9,62000,4.2,,300,950,0
taiwan,mpv,ice,Toyota Noah HEV,38000,,18,460,620,180
taiwan,mpv,hybrid,Toyota Voxy HEV,42000,,18,460,660,150
taiwan,motorbike_commuter,ev,Gogoro Jego,650,30,,15,40,0
taiwan,motorbike_commuter,ice,Yamaha Jog / SYM,700,,45,55,35,8
taiwan,motorbike_premium,ev,Gogoro CrossOver / S2,1800,20,,20,60,0
taiwan,motorbike_premium,ice,Yamaha NMAX / Honda PCX,2500,,35,80,60,12
